"","x"
"1","Abudefduf sordidus"
"2","Acanthopagrus berda"
"3","Acanthurus nigricans"
"4","Acanthurus nigricauda"
"5","Acanthurus sohal"
"6","Achirus sp. *"
"7","Adioryx ruber"
"8","Adioryx spinifer"
"9","Aethaloperca rogaa"
"10","Agnostomas telfeirii"
"11","Albula glossodonta"
"12","Albula vulpes"
"13","Alectis indicus"
"14","Alepes vari"
"15","Argyrops filamentosus"
"16","Argyrops sp."
"17","Argyrops spinifer"
"18","Arius heudelotii"
"19","Arius thalassinus"
"20","Auxis thazard"
"21","Balistapus undulatus"
"22","Balistoides viridescens"
"23","Bothus pantherinus"
"24","Caesio caerulaurea"
"25","Caesio suevicus"
"26","Carangoides armatus"
"27","Carangoides bajad"
"28","Carangoides ferdau"
"29","Carangoides fulvoguttatus"
"30","Carangoides sp."
"31","Caranx (Caranx) melampygus"
"32","Caranx (Caranx) sexfasciatus"
"33","Caranx (Gnathanodon) speciosus"
"34","Caranx ignobilis"
"35","Caranx sp."
"36","Carcharhinus albimarginatus"
"37","Carcharhinus melanopterus"
"38","Carcharhinus wheeleri"
"39","Cephalopholis argus"
"40","Cephalopholis miniatus ?"
"41","Cephalopholis oligosticta"
"42","Cephalopholus sexmaculata"
"43","Chaetodon auriga"
"44","Chaetodon semilarvatus"
"45","Chanos chanos"
"46","Cheilinus lunulatus"
"47","Cheilinus quinquecintus"
"48","Chirocentrus dorab"
"49","Chorinemus lysan"
"50","Cociella crocodila"
"51","Crenimugil crenilabis"
"52","Decapterus macarellus"
"53","Decapterus russelli"
"54","Diagramma pictum"
"55","Diodon hystrix"
"56","Echeneis naucrates"
"57","Elagatis bipinnulata"
"58","Epinephelus chlorostigma"
"59","Epinephelus fuscoguttatus"
"60","Epinephelus microdon"
"61","Epinephelus sexfasciatus"
"62","Epinephelus summana"
"63","Epinephelus tauvina"
"64","Euthynnus affinis"
"65","FISHJUV"
"66","Gerres oyena"
"67","Grammatorcynus bicarinatus"
"68","Grammatorcynus bilineatus"
"69","Gymnocranius grandoculis"
"70","Gymnocranius microdon"
"71","Gymnocranius robinsoni"
"72","Gymnosarda unicolor"
"73","Gymnothorax flavimarginatus"
"74","Gymnothorax javanicus"
"75","Hectromynicus pictus"
"76","Hemiramphus far"
"77","Hipposcarus harid"
"78","Katsuwonus pelamis"
"79","Kyphosus vaigiensis"
"80","LETHRINIDAE"
"81","Lethrinus elongatus *"
"82","Lethrinus harak"
"83","Lethrinus lentjan"
"84","Lethrinus mahsena"
"85","Lethrinus mahsenoides *"
"86","Lethrinus nebulosus"
"87","Lethrinus ramak"
"88","Lethrinus xanthochilus"
"89","Lutjanus argentimaculatus"
"90","Lutjanus bohar"
"91","Lutjanus cf  fluviflamma"
"92","Lutjanus coccineus *"
"93","Lutjanus ehrenbergii"
"94","Lutjanus fulviflamma"
"95","Lutjanus gibbus"
"96","Lutjanus kasmira"
"97","Lutjanus malabaricus"
"98","Lutjanus monostigma"
"99","Lutjanus rivulatus"
"100","Lutjanus sebae"
"101","Lutjanus sp."
"102","Macolor niger"
"103","Monotaxis grandoculis"
"104","Mugil bananensis"
"105","Mulloides flavolineatus"
"106","Mulloides vanicolensis"
"107","Myripristis murdjan"
"108","Naso hexacanthus"
"109","Naso lituratus"
"110","No catch"
"111","NO CATCH"
"112","Paracaesio sordius"
"113","Platax boersi"
"114","Platax orbicularis"
"115","Plectorhinchus gaterinus"
"116","Plectorhinchus pictus"
"117","Plectorhynchus pictus"
"118","Plectorhynchus schotaf"
"119","Plectropomus pessuliferus"
"120","Priacanthus hamrur"
"121","Pristipomoides multidens"
"122","Pseudobalistes flavimarginatus"
"123","Rastrelliger kanagurta"
"124","Sarda orientalis"
"125","Sargocentron spiniferum"
"126","Scarus ferrugineus"
"127","Scarus frenatus"
"128","Scarus ghobban"
"129","Scomber japonicus"
"130","Scomberoides lysan"
"131","Scomberoides tol"
"132","Scomberomorus commerson"
"133","Scomberomorus lineolatus"
"134","Scomberomorus tritor"
"135","Siganus argenteus"
"136","Siganus luridus"
"137","Siganus rivulatus"
"138","Siganus stellatus"
"139","Sparus sp."
"140","Sphyraena forsteri"
"141","Sphyraena jello"
"142","Sphyraena putnamie"
"143","Sphyraena qenie"
"144","Sphyrna lewini"
"145","Taeniura lymma"
"146","Terapon jarbua"
"147","Thunnus albacares"
"148","Triaenodon obesus"
"149","Tylosurus acus rafale"
"150","Tylosurus choram"
"151","Tylosurus crocodilus crocodil."
"152","Tylosurus crocodilus fodiator"
"153","Valamugil engeli"
"154","Valamugil seheli"
"155","Variola louti"
